Charge Start, Charge Result, KwHr, Rate, Cost of Elec, Delivery Rate,RTSR – Network,RTSR – Line & Connection Charges,Low Voltage Rate Adder,Wholesale Market Service Charge,Rural and Remote Rate Protection,Debt Retirement Charge (DRC),
2017-08-02 19:09:00,Full,10.27,0.087,0.89349, 1.44807,0.081133,0.060593,0.002054,0.045188,0.013351,0.07189,
2017-08-03 00:52:00,Full,1.55,0.18,0.279, 0.21855,0.012245,0.009145,0.00031,0.00682,0.002015,0.01085,
2017-08-02 09:21:00,Partial,0.24,0.132,0.03168, 0.03384,0.001896,0.001416,4.8e-05,0.001056,0.000312,0.00168,
2017-08-01 19:00:00,Full,8.71,0.087,0.75777, 1.22811,0.068809,0.051389,0.001742,0.038324,0.011323,0.06097,
2017-08-01 13:10:00,Full,5.56,0.18,1.0008, 0.78396,0.043924,0.032804,0.001112,0.024464,0.007228,0.03892,
2017-08-01 10:09:00,Partial,4.52,0.132,0.59664, 0.63732,0.035708,0.026668,0.000904,0.019888,0.005876,0.03164,
2017-07-31 18:59:00,Full,7.21,0.087,0.62727, 1.01661,0.056959,0.042539,0.001442,0.031724,0.009373,0.05047,
2017-07-31 09:04:00,Full,7.05,0.132,0.9306, 0.99405,0.055695,0.041595,0.00141,0.03102,0.009165,0.04935,
2017-07-30 18:42:00,Full,3.08,0.087,0.26796, 0.43428,0.024332,0.018172,0.000616,0.013552,0.004004,0.02156,
2017-07-30 13:44:00,Full,3.19,0.087,0.27753, 0.44979,0.025201,0.018821,0.000638,0.014036,0.004147,0.02233,
2017-07-30 10:05:00,Partial,8.57,0.087,0.74559, 1.20837,0.067703,0.050563,0.001714,0.037708,0.011141,0.05999,
2017-07-29 23:41:00,Full,10.07,0.087,0.87609, 1.41987,0.079553,0.059413,0.002014,0.044308,0.013091,0.07049,
2017-07-20 06:36:00,Full,5.94,0.087,0.51678, 0.83754,0.046926,0.035046,0.001188,0.026136,0.007722,0.04158,
2017-07-18 20:32:00,Full,7.49,0.087,0.65163, 1.05609,0.059171,0.044191,0.001498,0.032956,0.009737,0.05243,
2017-07-17 19:49:00,Full,5.09,0.087,0.44283, 0.71769,0.040211,0.030031,0.001018,0.022396,0.006617,0.03563,
2017-07-17 09:34:00,Full,2.61,0.132,0.34452, 0.36801,0.020619,0.015399,0.000522,0.011484,0.003393,0.01827,
2017-07-16 17:52:00,Full,6.35,0.087,0.55245, 0.89535,0.050165,0.037465,0.00127,0.02794,0.008255,0.04445,
2017-07-16 13:33:00,Full,1.76,0.087,0.15312, 0.24816,0.013904,0.010384,0.000352,0.007744,0.002288,0.01232,
2017-07-16 09:07:00,Full,1.57,0.087,0.13659, 0.22137,0.012403,0.009263,0.000314,0.006908,0.002041,0.01099,
2017-07-15 19:24:00,Full,1.49,0.087,0.12963, 0.21009,0.011771,0.008791,0.000298,0.006556,0.001937,0.01043,
2017-07-15 13:29:00,Full,7.07,0.087,0.61509, 0.99687,0.055853,0.041713,0.001414,0.031108,0.009191,0.04949,
2017-07-14 19:00:00,Full,13.64,0.087,1.18668, 1.92324,0.107756,0.080476,0.002728,0.060016,0.017732,0.09548,
2017-07-14 16:12:00,Partial,2.06,0.18,0.3708, 0.29046,0.016274,0.012154,0.000412,0.009064,0.002678,0.01442,
2017-07-14 14:42:00,Partial,1.25,0.18,0.225, 0.17625,0.009875,0.007375,0.00025,0.0055,0.001625,0.00875,
2017-07-13 19:00:00,Full,12.55,0.087,1.09185, 1.76955,0.099145,0.074045,0.00251,0.05522,0.016315,0.08785,
2017-07-14 00:45:00,Partial,9.59,0.18,1.7262, 1.35219,0.075761,0.056581,0.001918,0.042196,0.012467,0.06713,
2017-07-12 18:59:00,Full,8.8,0.087,0.7656, 1.2408,0.06952,0.05192,0.00176,0.03872,0.01144,0.0616,
2017-07-12 10:18:00,Full,8.39,0.132,1.10748, 1.18299,0.066281,0.049501,0.001678,0.036916,0.010907,0.05873,
2017-07-11 19:00:00,Full,9.13,0.087,0.79431, 1.28733,0.072127,0.053867,0.001826,0.040172,0.011869,0.06391,
2017-07-11 09:24:00,Full,7.27,0.132,0.95964, 1.02507,0.057433,0.042893,0.001454,0.031988,0.009451,0.05089,
2017-07-10 17:11:00,Full,7.44,0.087,0.64728, 1.04904,0.058776,0.043896,0.001488,0.032736,0.009672,0.05208,
2017-07-10 09:21:00,Full,7.07,0.132,0.93324, 0.99687,0.055853,0.041713,0.001414,0.031108,0.009191,0.04949,
